Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
Published,H,ALICE,Prompt Ds,PbPb,v2,5.02 TeV (2018),2110.10006,PLB 827 (2022) 136986,,,corr;had,charm
Published,H,ATLAS,c→μ,PbPb,,5.02 TeV (2018),2003.03565,PLB 807 (2020) 135595,,,corr,charm
Preliminary,,STAR,c→e,AuAu,v2,200 GeV (2014+16),1911.00000,QM'19,,,corr,charm
Preliminary,D,PHENIX,c→e,AuAu,v2,200 GeV,2204.00003,QM'22,,,corr,charm
Published,X,CMS,Inclusive D0,PbPb,D-jet,5.02 TeV (2015),1911.01461,PRL 125 (2020) 102001,,,corr,charm
Preliminary,X,ALICE,Inclusive D0,PbPb,D-h corr,5.02 TeV (2018),,https://alice-figure.web.cern.ch/node/27572,,,corr,charm
Published,X,STAR,Inclusive D0,AuAu,D-h corr,200 GeV,1911.12168,PRC 102 (2020) 014905,,,corr,charm
Preliminary,X,ALICE,,PbPb,HFe-h corr,5.02 TeV,,https://alice-figure.web.cern.ch/node/27572,,,corr,charm
Published,X,ATLAS,,,HFμ-HFμ corr,5.02 TeV,2308.16652,PRL 132 (2024) 202301,,,corr,charm
,,,Beauty,,,,,,,,,
Published,H,CMS,b→D0,PbPb,,5.02 TeV (2018),2212.01636,PLB 850 (2024) 138389,,,corr,beuaty
Published,H,ALICE,b→D0,PbPb,v2,5.02 TeV (2018),2307.14084,EPJC 83 (2023) 1123,,,corr,beuaty
Published,H,CMS,b→J/ψ,PbPb,,5.02 TeV (2018),2305.16928,JHEP 10 (2023) 115,,,corr,beuaty
Published,X,CMS,b→J/ψ,PbPb,v2,2.76 TeV,1610.00613,EPJC 77 (2017) 252,,,corr,beuaty
Published,H,ALICE,b→e,PbPb,v2,5.02 TeV (2018),2005.11130,PRL 126 (2021) 162001,,,corr,beuaty
Preliminary,,STAR,b→e,AuAu,v2,200 GeV (2014+16),1911.00000,QM'19,,,corr,beuaty
Preliminary,D,PHENIX,b→e,AuAu,v2,200 GeV,2204.00003,QM'22,,,corr,beuaty
Published,H,ATLAS,b→μ,PbPb,,5.02 TeV (2018),2003.03565,PLB 807 (2020) 135595,,,corr,beuaty
,,,Inclusive,,,,,,,,,
Published,X,ALICE,,PbPb,v2,2.76 TeV,1606.00321,JHEP 09 (2016) 028,,,corr,inclusive
Preliminary,X,ALICE,,PbPb,v2,5.02 TeV (2015),,https://alice-figure.web.cern.ch/node/11094,,,corr,inclusive
Published,X,STAR,,AuAu,v2,,1405.6348,PRC 95 (2017) 034907,,,corr,inclusive
Preliminary,X,STAR,,AuAu,v2,,2105.00000,SQM'21,,,corr,inclusive
Published,X,PHENIX,,AuAu,v2,200 GeV,1005.1627,PRC 84 (2011) 044905,,,corr,inclusive
Obsolete,X,PHENIX,,AuAu,v2,200 GeV (04/05),0611018,PRL 98 (2007) 172301,,,corr,inclusive
,,,Charmonia,,,,,,,,,
Published,H,ATLAS,Prompt J/ψ,PbPb,v2,5.02 TeV (2015),1807.05198,EPJC 78 (2018) 784,,,qqbar,charm
Published,H,CMS,Prompt J/ψ,PbPb,,5.02 TeV (2018),2305.16928 ,JHEP 10 (2023) 115,,,qqbar,charm
Published,H,CMS,Prompt J/ψ,PbPb,v2,2.76 TeV,1610.00613,EPJC 77 (2017) 252,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,,5.02 TeV (2018),2005.14518,JHEP 10 (2020) 141,,,qqbar,charm
Published,X,ALICE,Inclusive J/ψ,PbPb,v2 (fwd),5.02 TeV (2015),1811.12727,JHEP 02 (2019) 012,,,qqbar,charm
Published,X,ALICE,Inclusive J/ψ,PbPb,v2 (mid),5.02 TeV (2015),1709.05260,PRL 119 (2017) 242301,,,qqbar,charm
Preliminary,D,PHENIX,Inclusive J/ψ,AuAu,v2,200 GeV (2014),2204.00004,QM'22,,,qqbar,charm
Published,H,STAR,Inclusive J/ψ,AuAu,v2,200 GeV,1212.3304,RL 111 (2013) 052301,,,qqbar,charm
Preliminary,,STAR,Inclusive J/ψ,RuRu+ZrZr,v2,200 GeV,2206.00000,,,,qqbar,charm
Published,H,CMS,Prompt ψ(2S),PbPb,,5.02 TeV (2018),2305.16928 ,JHEP 10 (2023) 115,,,qqbar,charm
,,,Bottomonia,,,,,,,,,
Published,H,CMS,,PbPb,v2,5.02 TeV (2018),2006.07707,PLB 819 (2021) 136385,,,qqbar,beauty
Published,H,ALICE,Υ(1S),PbPb,v2,5.02 TeV (2018),1907.03169,PRL 123 (2019) 192301,,,qqbar,beauty
,,Small system,,,,,,,,,,
,,,Production,,,,,,,,,
Published,H,ALICE,Prompt D,pPb,,5.02 TeV (2016),1906.03425,JHEP 12 (2019) 092,,,npdf,charm
Published,X,ALICE,Prompt D,pPb,RpA,5.02 TeV (2013),1605.07569,PRC 94 (2016) 054908,,,npdf,charm
Published,H,LHCb,Prompt D0,pPb,,8.16 TeV,2205.03936,PRL 131 (2023) 102301,Datatable doesn't have vs. y*,,npdf,charm
e-print,P,LHCb,,pPb,,8.16 TeV,2311.08490,,Most fine datatables yet implemented,,npdf,charm
Published,H,LHCb,,pPb,,5.02 TeV (2016),2309.14206,JHEP 01 (2024) 070,,,npdf,charm
Published,H,LHCb,Prompt D0,pPb,RpA,5.02 TeV (2013),1707.02750,JHEP 10 (2017) 090,,,npdf,charm
Published,H,CMS,B mesons,pPb,RpA,5.02 TeV (2013),1508.06678,PRL 116 (2016) 032301,,,npdf,beauty
Published,H,LHCb,b hadrons,pPb,RpA,8.16 TeV,1902.05599,PRD 99 (2019) 052011,,,npdf,beauty
e-print,,ALICE,,pPb,RpA,8.16 TeV,2407.10593,,,,npdf,beauty
Published,H,CMS,b→J/ψ,pPb,RpA,5.02 TeV (2013),1702.01462,EPJC 77 (2017) 269,,,npdf,beauty
Published,H,ALICE,b→J/ψ,pPb,RpA,5.02 TeV (2016),2105.04957,JHEP 06 (2022) 011,,,npdf,beauty
Published,H,LHCb,b→J/ψ,pPb,RpA,5.02 TeV (2013),2109.00220,JHEP 11 (2021) 181,Update pp reference,,npdf,beauty
Obsolete,H,LHCb,b→J/ψ,pPb,RpA,5.02 TeV (2013),1308.6729,JHEP 02 (2014) 072,Same pPb ↑,,npdf,beauty
